0.72	2.42E-07	-1.51E-07	4.06E-08	3.67E-08	-6.05E-08	3.73E-08	3.81E-09	-3.18E-08	3.20E-08	-9.67E-09	-1.53E-08	2.52E-08	-1.58E-08
0.71	2.48E-07	-1.48E-07	3.12E-08	4.51E-08	-6.13E-08	2.98E-08	1.36E-08	-3.61E-08	2.73E-08	1.71E-10	-2.25E-08	2.40E-08	-7.11E-09
0.7	2.53E-07	-1.44E-07	2.14E-08	5.27E-08	-6.04E-08	2.11E-08	2.27E-08	-3.78E-08	2.02E-08	9.97E-09	-2.68E-08	1.91E-08	2.86E-09
0.69	2.59E-07	-1.40E-07	1.15E-08	5.94E-08	-5.79E-08	1.16E-08	3.05E-08	-3.69E-08	1.14E-08	1.87E-08	-2.76E-08	1.12E-08	1.23E-08
0.68	2.63E-07	-1.35E-07	1.55E-09	6.51E-08	-5.38E-08	1.68E-09	3.67E-08	-3.35E-08	1.63E-09	2.53E-08	-2.47E-08	1.61E-09	1.95E-08
0.67	2.68E-07	-1.30E-07	-8.43E-09	6.96E-08	-4.83E-08	-8.27E-09	4.10E-08	-2.78E-08	-8.27E-09	2.93E-08	-1.87E-08	-8.18E-09	2.31E-08
0.66	2.72E-07	-1.24E-07	-1.83E-08	7.29E-08	-4.15E-08	-1.79E-08	4.31E-08	-2.02E-08	-1.74E-08	3.01E-08	-1.03E-08	-1.67E-08	2.26E-08
0.65	2.76E-07	-1.18E-07	-2.79E-08	7.50E-08	-3.37E-08	-2.67E-08	4.29E-08	-1.13E-08	-2.50E-08	2.77E-08	-6.51E-10	-2.26E-08	1.81E-08
0.64	2.80E-07	-1.11E-07	-3.73E-08	7.57E-08	-2.50E-08	-3.46E-08	4.05E-08	-1.62E-09	-3.05E-08	2.24E-08	9.08E-09	-2.51E-08	1.04E-08
0.63	2.83E-07	-1.03E-07	-4.63E-08	7.53E-08	-1.56E-08	-4.10E-08	3.60E-08	8.11E-09	-3.33E-08	1.47E-08	1.76E-08	-2.37E-08	8.30E-10
0.62	2.86E-07	-9.57E-08	-5.47E-08	7.35E-08	-5.95E-09	-4.59E-08	2.97E-08	1.72E-08	-3.32E-08	5.58E-09	2.39E-08	-1.89E-08	-8.80E-09
0.61	2.89E-07	-8.76E-08	-6.27E-08	7.05E-08	3.84E-09	-4.90E-08	2.19E-08	2.52E-08	-3.04E-08	-4.10E-09	2.71E-08	-1.12E-08	-1.68E-08
0.6	2.92E-07	-7.91E-08	-7.00E-08	6.64E-08	1.35E-08	-5.03E-08	1.31E-08	3.14E-08	-2.50E-08	-1.33E-08	2.69E-08	-1.85E-09	-2.19E-08
0.59	2.94E-07	-7.04E-08	-7.66E-08	6.12E-08	2.27E-08	-4.97E-08	3.57E-09	3.55E-08	-1.76E-08	-2.11E-08	2.34E-08	7.68E-09	-2.31E-08
0.58	2.95E-07	-6.14E-08	-8.25E-08	5.50E-08	3.13E-08	-4.72E-08	-6.04E-09	3.72E-08	-8.70E-09	-2.67E-08	1.70E-08	1.60E-08	-2.04E-08
0.57	2.97E-07	-5.22E-08	-8.76E-08	4.80E-08	3.91E-08	-4.31E-08	-1.53E-08	3.65E-08	8.28E-10	-2.95E-08	8.50E-09	2.20E-08	-1.42E-08
0.56	2.98E-07	-4.28E-08	-9.18E-08	4.02E-08	4.58E-08	-3.73E-08	-2.37E-08	3.35E-08	1.02E-08	-2.93E-08	-9.51E-10	2.47E-08	-5.56E-09
0.55	2.99E-07	-3.32E-08	-9.52E-08	3.18E-08	5.13E-08	-3.03E-08	-3.09E-08	2.83E-08	1.87E-08	-2.62E-08	-1.02E-08	2.38E-08	3.93E-09
0.54	3.00E-07	-2.36E-08	-9.78E-08	2.30E-08	5.55E-08	-2.22E-08	-3.66E-08	2.13E-08	2.57E-08	-2.05E-08	-1.82E-08	1.96E-08	1.27E-08
0.53	3.00E-07	-1.40E-08	-9.94E-08	1.38E-08	5.82E-08	-1.34E-08	-4.04E-08	1.30E-08	3.05E-08	-1.27E-08	-2.40E-08	1.25E-08	1.93E-08
0.52	3.00E-07	-4.29E-09	-1.00E-07	4.53E-09	5.95E-08	-4.09E-09	-4.22E-08	3.88E-09	3.28E-08	-3.79E-09	-2.68E-08	3.75E-09	2.26E-08
0.51	3.00E-07	5.35E-09	-9.99E-08	-4.80E-09	5.94E-08	5.27E-09	-4.20E-08	-5.39E-09	3.26E-08	5.46E-09	-2.65E-08	-5.50E-09	2.22E-08
0.5	2.99E-07	1.49E-08	-9.89E-08	-1.40E-08	5.77E-08	1.44E-08	-3.98E-08	-1.43E-08	2.97E-08	1.41E-08	-2.30E-08	-1.39E-08	1.82E-08
0.49	2.98E-07	2.44E-08	-9.70E-08	-2.29E-08	5.47E-08	2.29E-08	-3.56E-08	-2.22E-08	2.45E-08	2.14E-08	-1.69E-08	-2.04E-08	1.12E-08
0.48	2.97E-07	3.37E-08	-9.42E-08	-3.14E-08	5.04E-08	3.06E-08	-2.98E-08	-2.87E-08	1.75E-08	2.65E-08	-8.80E-09	-2.39E-08	2.43E-09
0.47	2.95E-07	4.29E-08	-9.07E-08	-3.94E-08	4.49E-08	3.72E-08	-2.27E-08	-3.34E-08	9.07E-09	2.91E-08	2.37E-10	-2.42E-08	-6.67E-09
0.46	2.94E-07	5.19E-08	-8.63E-08	-4.67E-08	3.83E-08	4.25E-08	-1.45E-08	-3.60E-08	3.52E-11	2.88E-08	9.19E-09	-2.12E-08	-1.47E-08
0.45	2.92E-07	6.06E-08	-8.13E-08	-5.33E-08	3.08E-08	4.62E-08	-5.68E-09	-3.64E-08	-8.95E-09	2.59E-08	1.70E-08	-1.52E-08	-2.03E-08
0.44	2.89E-07	6.91E-08	-7.56E-08	-5.90E-08	2.27E-08	4.84E-08	3.35E-09	-3.47E-08	-1.72E-08	2.05E-08	2.29E-08	-7.32E-09	-2.26E-08
0.43	2.87E-07	7.72E-08	-6.92E-08	-6.38E-08	1.41E-08	4.89E-08	1.22E-08	-3.08E-08	-2.41E-08	1.33E-08	2.62E-08	1.55E-09	-2.14E-08
0.42	2.84E-07	8.51E-08	-6.23E-08	-6.76E-08	5.15E-09	4.78E-08	2.04E-08	-2.51E-08	-2.91E-08	4.78E-09	2.64E-08	1.02E-08	-1.68E-08
0.41	2.81E-07	9.26E-08	-5.50E-08	-7.03E-08	-3.84E-09	4.51E-08	2.76E-08	-1.80E-08	-3.20E-08	-4.09E-09	2.38E-08	1.74E-08	-9.68E-09
0.4	2.77E-07	9.97E-08	-4.71E-08	-7.20E-08	-1.27E-08	4.08E-08	3.36E-08	-9.78E-09	-3.24E-08	-1.25E-08	1.84E-08	2.23E-08	-1.05E-09
0.39	2.74E-07	1.06E-07	-3.90E-08	-7.27E-08	-2.12E-08	3.52E-08	3.80E-08	-1.05E-09	-3.04E-08	-1.98E-08	1.11E-08	2.42E-08	7.71E-09
0.38	2.70E-07	1.13E-07	-3.05E-08	-7.22E-08	-2.92E-08	2.85E-08	4.07E-08	7.70E-09	-2.61E-08	-2.52E-08	2.54E-09	2.29E-08	1.52E-08
0.37	2.66E-07	1.19E-07	-2.18E-08	-7.07E-08	-3.65E-08	2.09E-08	4.15E-08	1.60E-08	-1.99E-08	-2.83E-08	-6.24E-09	1.87E-08	2.04E-08
0.36	2.62E-07	1.24E-07	-1.29E-08	-6.81E-08	-4.29E-08	1.26E-08	4.05E-08	2.33E-08	-1.23E-08	-2.88E-08	-1.43E-08	1.20E-08	2.24E-08
0.35	2.57E-07	1.29E-07	-4.00E-09	-6.46E-08	-4.84E-08	3.90E-09	3.77E-08	2.92E-08	-3.82E-09	-2.67E-08	-2.08E-08	3.78E-09	2.11E-08
0.34	2.53E-07	1.33E-07	4.94E-09	-6.01E-08	-5.27E-08	-4.89E-09	3.32E-08	3.34E-08	4.93E-09	-2.22E-08	-2.50E-08	-4.91E-09	1.65E-08
0.33	2.48E-07	1.37E-07	1.38E-08	-5.47E-08	-5.58E-08	-1.35E-08	2.72E-08	3.57E-08	1.33E-08	-1.57E-08	-2.64E-08	-1.29E-08	9.42E-09
0.32	2.42E-07	1.41E-07	2.26E-08	-4.86E-08	-5.76E-08	-2.16E-08	2.01E-08	3.59E-08	2.07E-08	-7.82E-09	-2.50E-08	-1.93E-08	9.51E-10
0.31	2.37E-07	1.44E-07	3.11E-08	-4.17E-08	-5.81E-08	-2.90E-08	1.20E-08	3.40E-08	2.65E-08	7.54E-10	-2.09E-08	-2.31E-08	-7.64E-09
