0	0	0	0	0	0	0	0
0.01	0.031410759	0.06279052	0.094108313	0.125333234	0.156434465	0.187381315	0.218143241
0.02	0.06279052	0.125333234	0.187381315	0.248689887	0.309016994	0.368124553	0.425779292
0.03	0.094108313	0.187381315	0.278991106	0.368124553	0.4539905	0.535826795	0.612907054
0.04	0.125333234	0.248689887	0.368124553	0.481753674	0.587785252	0.684547106	0.770513243
0.05	0.156434465	0.309016994	0.4539905	0.587785252	0.707106781	0.809016994	0.891006524
0.06	0.187381315	0.368124553	0.535826795	0.684547106	0.809016994	0.904827052	0.968583161
0.07	0.218143241	0.425779292	0.612907054	0.770513243	0.891006524	0.968583161	0.99950656
0.08	0.248689887	0.481753674	0.684547106	0.844327926	0.951056516	0.998026728	0.982287251
0.09	0.278991106	0.535826795	0.75011107	0.904827052	0.987688341	0.992114701	0.917754626
0.1	0.309016994	0.587785252	0.809016994	0.951056516	1	0.951056516	0.809016994
0.11	0.33873792	0.63742399	0.860742027	0.982287251	0.987688341	0.87630668	0.661311865
0.12	0.368124553	0.684547106	0.904827052	0.998026728	0.951056516	0.770513243	0.481753674
0.13	0.397147891	0.728968627	0.940880769	0.998026728	0.891006524	0.63742399	0.278991106
0.14	0.425779292	0.770513243	0.968583161	0.982287251	0.809016994	0.481753674	0.06279052
0.15	0.4539905	0.809016994	0.987688341	0.951056516	0.707106781	0.309016994	-0.156434465
0.16	0.481753674	0.844327926	0.998026728	0.904827052	0.587785252	0.125333234	-0.368124553
0.17	0.509041416	0.87630668	0.99950656	0.844327926	0.4539905	-0.06279052	-0.562083378
0.18	0.535826795	0.904827052	0.992114701	0.770513243	0.309016994	-0.248689887	-0.728968627
0.19	0.562083378	0.929776486	0.975916762	0.684547106	0.156434465	-0.425779292	-0.860742027
0.2	0.587785252	0.951056516	0.951056516	0.587785252	1.22515E-16	-0.587785252	-0.951056516
0.21	0.612907054	0.968583161	0.917754626	0.481753674	-0.156434465	-0.728968627	-0.995561965
0.22	0.63742399	0.982287251	0.87630668	0.368124553	-0.309016994	-0.844327926	-0.992114701
0.23	0.661311865	0.992114701	0.827080574	0.248689887	-0.4539905	-0.929776486	-0.940880769
0.24	0.684547106	0.998026728	0.770513243	0.125333234	-0.587785252	-0.982287251	-0.844327926
0.25	0.707106781	1	0.707106781	1.22515E-16	-0.707106781	-1	-0.707106781
0.26	0.728968627	0.998026728	0.63742399	-0.125333234	-0.809016994	-0.982287251	-0.535826795
0.27	0.75011107	0.992114701	0.562083378	-0.248689887	-0.891006524	-0.929776486	-0.33873792
0.28	0.770513243	0.982287251	0.481753674	-0.368124553	-0.951056516	-0.844327926	-0.125333234
0.29	0.790155012	0.968583161	0.397147891	-0.481753674	-0.987688341	-0.728968627	0.094108313
0.3	0.809016994	0.951056516	0.309016994	-0.587785252	-1	-0.587785252	0.309016994
0.31	0.827080574	0.929776486	0.218143241	-0.684547106	-0.987688341	-0.425779292	0.509041416
0.32	0.844327926	0.904827052	0.125333234	-0.770513243	-0.951056516	-0.248689887	0.684547106
0.33	0.860742027	0.87630668	0.031410759	-0.844327926	-0.891006524	-0.06279052	0.827080574
0.34	0.87630668	0.844327926	-0.06279052	-0.904827052	-0.809016994	0.125333234	0.929776486
0.35	0.891006524	0.809016994	-0.156434465	-0.951056516	-0.707106781	0.309016994	0.987688341
